t,Y,C,I,G,X,IM,CPI,i,M,YL,iL,E
1960,7.06E+13,,,,,,18.97098938,,8.08E+12,1483.494071,,
1961,7.91E+13,,,,,,19.9894397,0.195711505,9.35E+12,1089.958051,,
1962,8.62E+13,,,,,,21.35580592,3.850069124,1.51E+13,1020.729312,,
1963,9.35E+13,,,,,,22.78811966,2.1573192,1.87E+13,1098.531898,,
1964,1.04E+14,,,,,,23.65415695,2.438519264,2.15E+13,1268.463747,,
1965,1.10E+14,,,,,,25.2285755,2.53461008,2.54E+13,1448.558822,,
1966,1.22E+14,,,,,,26.50030562,2.388644462,2.95E+13,1558.771028,,
1967,1.36E+14,,,,,,27.55762756,1.724113179,3.41E+13,1431.551968,,
1968,1.53E+14,,,,,,29.02904861,2.419301361,3.92E+13,1337.478223,,
1969,1.72E+14,,,,,,30.55302167,2.846328855,4.64E+13,1521.7739,,
1970,1.73E+14,9.75E+13,6.52E+13,2.71E+13,7.74E+12,1.44E+13,32.668566,-12.45000771,7.77E+13,1766.024687,,
1971,1.81E+14,1.03E+14,6.57E+13,2.92E+13,8.98E+12,1.54E+13,34.75783476,2.380530224,9.65E+13,1839.476766,,
1972,1.96E+14,1.12E+14,7.22E+13,3.07E+13,9.35E+12,1.70E+13,36.44133644,1.364442597,1.21E+14,1863.207965,,
1973,2.12E+14,1.22E+14,8.08E+13,3.24E+13,9.84E+12,2.11E+13,40.67167401,-4.896967091,1.43E+14,1962.466513,,
1974,2.10E+14,1.22E+14,7.56E+13,3.22E+13,1.21E+13,2.20E+13,50.11655012,-9.6819073,1.64E+14,1966.744801,,
1975,2.16E+14,1.27E+14,7.16E+13,3.63E+13,1.20E+13,1.97E+13,55.995856,1.792720991,1.91E+14,2100.80679,,
1976,2.25E+14,1.31E+14,7.43E+13,3.78E+13,1.40E+13,2.11E+13,61.24492791,0.22987227,2.21E+14,2036.074169,,
1977,2.35E+14,1.36E+14,7.65E+13,3.94E+13,1.56E+13,2.19E+13,66.24363291,0.761186732,2.51E+14,2160.559778,,
1978,2.47E+14,1.43E+14,8.23E+13,4.14E+13,1.56E+13,2.34E+13,69.03220237,1.73614703,2.88E+14,2369.202723,,
1979,2.61E+14,1.53E+14,8.75E+13,4.32E+13,1.63E+13,2.65E+13,71.58767159,3.519849045,3.20E+14,2515.482608,,
1980,2.68E+14,1.54E+14,8.67E+13,4.45E+13,1.90E+13,2.44E+13,77.15617716,2.757402342,3.50E+14,2678.058281,1.215864224,
1981,2.79E+14,1.58E+14,8.85E+13,4.69E+13,2.16E+13,2.50E+13,80.94621428,4.796288112,3.92E+14,2780.729602,2.678582457,
1982,2.88E+14,1.65E+14,8.78E+13,4.89E+13,2.19E+13,2.49E+13,83.16498316,5.472782926,4.28E+14,2984.888861,7.269248415,
1983,2.99E+14,1.71E+14,8.45E+13,5.12E+13,2.30E+13,2.41E+13,84.74488474,6.124589245,4.64E+14,3260.848294,6.036293736,
1984,3.12E+14,1.76E+14,8.70E+13,5.27E+13,2.65E+13,2.66E+13,86.66148666,5.198606184,5.01E+14,3705.573682,2.103120431,
1985,3.28E+14,1.84E+14,9.47E+13,5.34E+13,2.79E+13,2.59E+13,88.42268842,5.273809218,5.45E+14,4146.874468,-2.066337588,
1986,3.39E+14,1.90E+14,9.91E+13,5.50E+13,2.65E+13,2.70E+13,88.94932228,4.338026755,5.95E+14,4450.895604,3.096258357,
1987,3.55E+14,1.99E+14,1.06E+14,5.70E+13,2.66E+13,2.96E+13,89.06155573,5.374797046,6.51E+14,4892.075771,2.729219512,
1988,3.79E+14,2.09E+14,1.21E+14,5.92E+13,2.84E+13,3.52E+13,89.66588967,4.381558969,7.10E+14,5354.763462,-2.761612793,
1989,3.98E+14,2.19E+14,1.32E+14,6.07E+13,3.11E+13,4.14E+13,91.70335837,3.112797835,7.88E+14,5494.025015,2.500557725,
1990,4.17E+14,2.30E+14,1.41E+14,6.28E+13,3.34E+13,4.48E+13,94.52646119,4.150884935,8.42E+14,5625.530682,3.438566436,
1991,4.32E+14,2.35E+14,1.45E+14,6.53E+13,3.52E+13,4.43E+13,97.59993093,4.471483714,8.89E+14,6065.05102,1.833465783,
1992,4.35E+14,2.40E+14,1.40E+14,6.71E+13,3.68E+13,4.40E+13,99.31796598,4.410602463,9.18E+14,6842.890506,0.4082805,
1993,4.33E+14,2.43E+14,1.35E+14,6.94E+13,3.71E+13,4.35E+13,100.5525339,4.412381173,9.59E+14,7702.770043,-3.665038196,
1994,4.37E+14,2.48E+14,1.32E+14,7.21E+13,3.88E+13,4.71E+13,101.2518346,3.857658953,9.99E+14,8610.277187,-7.977247784,
1995,4.49E+14,2.55E+14,1.38E+14,7.49E+13,4.04E+13,5.32E+13,101.1223345,4.060956598,1.04E+15,9449.803235,-1.416848302,
1996,4.63E+14,2.60E+14,1.48E+14,7.66E+13,4.24E+13,5.90E+13,101.2604679,3.169808093,1.08E+15,10279.70243,3.36043871,
1997,4.68E+14,2.62E+14,1.45E+14,7.77E+13,4.70E+13,5.92E+13,103.030303,1.935252813,1.14E+15,11114.26501,6.905816168,
1998,4.63E+14,2.60E+14,1.39E+14,7.86E+13,4.59E+13,5.53E+13,103.712337,2.367104309,1.18E+15,11870.90265,7.34817842,
1999,4.62E+14,2.63E+14,1.32E+14,8.14E+13,4.68E+13,5.72E+13,103.35837,3.516372376,1.21E+15,12670.91483,7.209860212,
2000,4.75E+14,2.67E+14,1.36E+14,8.45E+13,5.27E+13,6.25E+13,102.6590693,3.499271106,1.23E+15,13638.97294,3.712016826,
2001,4.76E+14,2.72E+14,1.34E+14,8.74E+13,4.92E+13,6.32E+13,101.8993352,3.108264873,1.02E+15,14669.50668,3.730663251,
2002,4.77E+14,2.76E+14,1.25E+14,8.97E+13,5.30E+13,6.36E+13,100.958301,3.372381681,1.02E+15,15902.02617,4.676861315,
2003,4.84E+14,2.78E+14,1.26E+14,9.14E+13,5.81E+13,6.58E+13,100.6993007,3.495587467,1.03E+15,17389.24159,2.635882424,0.07429
2004,4.95E+14,2.81E+14,1.28E+14,9.25E+13,6.64E+13,7.11E+13,100.6906674,2.899232098,1.04E+15,19034.12039,-1.284961447,0.0766675
2005,5.03E+14,2.85E+14,1.31E+14,9.32E+13,7.11E+13,7.55E+13,100.4057671,2.74280614,1.04E+15,21078.87073,1.614357658,0.073906667
2006,5.10E+14,2.88E+14,1.31E+14,9.33E+13,7.85E+13,7.90E+13,100.656134,2.570922086,1.03E+15,23627.69327,2.109240078,0.067980833
2007,5.19E+14,2.90E+14,1.30E+14,9.43E+13,8.53E+13,8.07E+13,100.7165674,2.631929162,1.04E+15,26849.647,-0.259101589,0.0641125
2008,5.13E+14,2.87E+14,1.27E+14,9.43E+13,8.66E+13,8.13E+13,102.1065354,2.919028021,1.05E+15,29291.31956,-2.302403241,0.067286667
2009,4.85E+14,2.85E+14,1.06E+14,9.62E+13,6.63E+13,6.86E+13,100.7252007,2.348964468,1.07E+15,31885.66047,5.532181018,0.072571667
2010,5.06E+14,2.92E+14,1.09E+14,9.80E+13,8.28E+13,7.62E+13,100,3.560983326,1.09E+15,35107.10086,-1.002183196,0.077165833
2011,5.05E+14,2.91E+14,1.12E+14,9.99E+13,8.26E+13,8.07E+13,99.7323664,3.229311638,1.12E+15,38276.30871,-1.402348385,0.0812075
2012,5.13E+14,2.97E+14,1.16E+14,1.02E+14,8.25E+13,8.50E+13,99.68056635,2.185700285,1.15E+15,41084.02141,3.581252745,0.078219167
2013,5.23E+14,3.04E+14,1.20E+14,1.03E+14,8.32E+13,8.78E+13,100.0259,1.642399108,1.19E+15,44057.62639,3.757774629,0.062386667
2014,5.25E+14,3.01E+14,1.24E+14,1.04E+14,9.09E+13,9.51E+13,102.7885695,-0.517122124,1.22E+15,47034.87425,4.771058721,0.058080833
2015,5.31E+14,3.01E+14,1.28E+14,1.05E+14,9.36E+13,9.58E+13,103.6001036,-0.981506242,1.26E+15,50027.92404,4.284614187,0.074425833
2016,5.35E+14,3.00E+14,1.27E+14,1.07E+14,9.52E+13,9.42E+13,103.4792368,0.775095567,1.31E+15,53109.78475,3.242460016,0.061088333
2017,5.45E+14,3.04E+14,1.30E+14,1.07E+14,1.02E+14,9.75E+13,103.962704,1.216762685,1.35E+15,56382.2886,0.448412983,0.060168833
2018,5.49E+14,3.05E+14,1.32E+14,1.08E+14,1.05E+14,1.01E+14,104.9814383,,1.38E+15,59811.59536,1.376296342,0.059980667
2019,,,,,,,110.0485668,0.25,9321264,,,0.063218333
